{tackling, 해결하기}
{analyze, 분석하다}
{discover, 발견하다}
{inefficient, 비효율적인}
{buggy, 버그가 있는}
{etc, 등등}
{looking, 보는}
{at, ~에}
{real, 실제}
{world, 세계}
{submitted, 제출된}
{by, ~에 의해}
{students, 학생들}
{programming, 프로그래밍}
{competition, 경쟁}
{problems, 문제들}
{such, 그러한}
{dataset, 데이터셋}
{because, 왜냐하면}
{written, 작성된}
{different, 다른}
{students, 학생들}
{naturally, 자연스럽게}
{encompass, 포함하다}
{implementation, 구현}
{variability, 가변성}
{would, ~할 것이다}
{possible, 가능한}
{instance, 경우}
{standard, 표준}
{library, 라이브러리}
{implementations, 구현들}
{goal, 목표}
{classify, 분류하다}
{solutions, 해결책들}
{prompts, 프롬프트들}
{solution, 해결책}
{written, 작성된}
{present, 제시하다}
{typical, 전형적인}
{example, 예}
{prompt, 프롬프트}
{table, 표}
{provided, 제공된}
{illustrative, 설명적인}
{purposes, 목적들}
{only, 단지}
{taken, 가져온}
{definition, 정의}
{follows, 따르다}
{define, 정의하다}
{equivalence, 동등성}
{solving, 해결하는}
{exact, 정확한}
{same, 같은}
{hence, 따라서}
{test, 테스트하다}
{ability, 능력}
{higher, 더 높은}
{similarity, 유사성}
{take, 취하다}
{account, 고려}
{behaviour, 행동}
{functionality, 기능성}
{complexity, 복잡도}
{ignoring, 무시하는}
{syntactic, 구문론적}
{differences, 차이들}
{wherever, ~하는 곳에서는}
{software, 소프트웨어}
{contains, 포함하다}
{bugs, 버그들}
{worst, 최악의}
{lead, 이끌다}
{weaknesses, 약점들}
{leave, 남기다}
{vulnerable, 취약한}
{systems, 시스템들}
{open, 열린}
{attacks, 공격들}
{security, 보안}
{bugs, 버그들}
{vulnerabilities, 취약점들}
{classified, 분류된}
{formal, 형식적인}
{list, 목록}
{weakness, 약점}
{enumeration, 열거}
{CWE, CWE}
{vulnerability, 취약점}
{discovery, 발견}
{finding, 찾는}
{parts, 부분들}
{may, ~일 수 있다}
{allow, 허용하다}
{attackers, 공격자들}
{unauthorized, 무단의}
{actions, 행동들}
{important, 중요한}
{computer, 컴퓨터}
{security, 보안}
{typical, 전형적인}
{target, 대상}
{programming, 프로그래밍}
{mistakes, 실수들}
{accidentally, 우연히}
{introduced, 도입된}
{benign, 양성의}
{commodity, 상품}
{programs, 프로그램들}
{authors, 저자들}
{work, 작업}
{excludes, 제외한다}
{specifically, 구체적으로}
{crafted, 만들어진}
{behave, 행동하다}
{malicious, 악의적인}
{way, 방법}
{focuses, 집중하다}
{large, 큰}
{variability, 가변성}
{among, ~중에서}
{increasingly, 점점 더}
{sizes, 크기들}
{increasing, 증가하는}
{costs, 비용들}
{testing, 테스트하는}
{solved, 해결된}
{most, 대부분의}
{techniques, 기법들}
{dynamic, 동적}
{exploration, 탐색}
{fuzzing, 퍼징}
{offer, 제공하다}
{precision, 정밀도}
{cost, 비용}
{shallow, 얕은}
{coverage, 커버리지}
{subset, 부분집합}
{execution, 실행}
{traces, 추적들}
{set, 집합}
{input, 입력}
{test, 테스트}
{cases, 경우들}
{observed, 관찰된}
{finite, 유한한}
{leaving, 남기는}
{unexplored, 탐색되지 않은}
{hand, 손}
{provides, 제공하다}
{lower, 더 낮은}
{addition, 추가}
{challenges, 도전과제들}
{come, 오다}
{range, 범위}
{fundamental, 근본적인}
{undecidability, 비결정성}
{halting, 정지}
{does, ~하다}
{terminate, 종료하다}
{inputs, 입력들}
{issues, 문제들}
{emerge, 나타나다}
{span, 걸치다}
{very, 매우}
{small, 작은}
{chunks, 덩어리들}
{involve, 포함하다}
{programmatic, 프로그램적}
{constructs, 구조들}
{raises, 제기하다}
{question, 질문}
{what, 무엇}
{granularity, 세분성}
{should, ~해야 한다}
{inspect, 검사하다}
{report, 보고하다}
{concerned, 관련된}
{entire, 전체}
{help, 돕다}
{statically, 정적으로}
{handling, 다루는}
{volumes, 양}
{variable, 가변적인}
{levels, 수준들}
{future, 미래}
{builds, 구축하다}
{techniques, 기법들}
{recovery, 복구}
{reconstruction, 재구성}
{studied, 연구된}
{where, ~인 곳}
{states, 상태들}
{models, 모델들}
{high, 높은}
{accuracy, 정확도}
{scalability, 확장성}
{first, 첫번째}
{introduced, 도입된}
{consists, 구성되다}
{online, 온라인}
{judge, 심사}
{competition, 경쟁}
{problems, 문제들}
{solutions, 해결책들}
{problem, 문제}
{kept, 유지했다}
{could, ~할 수 있었다}
{be, ~이다}
{successfully, 성공적으로}
{compiled, 컴파일된}
{debian, 데비안}
{operating, 운영}
{system, 시스템}
{gcc, gcc}
{without, ~없이}
{optimization, 최적화}
{flags, 플래그들}
{left, 남겼다}
{executable, 실행가능한}
{files, 파일들}
{belonging, 속하는}
{potential, 잠재적}
{classes, 클래스들}
{corresponds, 대응하다}
{prompt, 프롬프트}
{corresponding, 대응하는}
{prompts, 프롬프트들}
{second, 두번째}
{used, 사용된}
{juliet, 줄리엣}
{C, C}
{suite, 스위트}
{synthetically, 합성적으로}
{generated, 생성된}
{created, 생성된}
{facilitate, 용이하게 하다}
{scanners, 스캐너들}
{enable, 가능하게 하다}
{benchmarking, 벤치마킹}
{grouped, 그룹화된}
{type, 유형}
{ID, ID}
{consists, 구성되다}
{minimal, 최소한의}
{recreate, 재현하다}
{and, 그리고}
{fixed, 수정된}
{version, 버전}
{suite, 스위트}
{has, 가지다}
{macros, 매크로들}
{surrounding, 둘러싸는}
{non, 비}
{functions, 함수들}
{correspondingly, 상응하게}
{twice, 두 번}
{once, 한 번}
{macro, 매크로}
{generate, 생성하다}
{contain, 포함하다}
{do, 하다}
{ninety, 90}
{IDs, ID들}
{some, 일부}
{them, 그것들}
{consist, 구성되다}
{windows, 윈도우}
{examples, 예들}
{omitted, 생략했다}
{note, 주목하다}
{though, 비록}
{platform, 플랫폼}
{specific, 특정한}
{limit, 제한하다}
{experimentation, 실험}
{linux, 리눅스}
{IDs, ID들}
{had, 가졌다}
{too, 너무}
{few, 적은}
{train, 훈련하다}
{classifier, 분류기}
{meaningful, 의미있는}
{statistics, 통계}
{on, ~에}
{omitted, 생략했다}
{any, 어떤}
{ID, ID}
{less, 덜}
{hundred, 백}
{testing, 테스트}
{set, 집합}
{seventy, 70}
{fifteen, 15}
{split, 분할}
{because, 왜냐하면}
{reported, 보고된}
{evaluation, 평가}
{metric, 지표}
{noisy, 잡음이 많은}
{result, 결과}
{belonging, 속하는}
{thirty, 30}
{IDs, ID들}
{presented, 제시된}
{trained, 훈련했다}
{separate, 별도의}
{individual, 개별}
{ID, ID}
{required, 요구된}
{associated, 연관된}
{contain, 포함하다}
{trained, 훈련했다}
{early, 조기}
{stopping, 중단}
{epochs, 에폭들}
{experiments, 실험들}
{randomly, 무작위로}
{split, 분할했다}
{ratios, 비율들}
{extracting, 추출하는}
{additional, 추가적인}
{helper, 도우미}
{structures, 구조들}
{counting, 세는}
{selection, 선택}
{finding, 찾는}
{threshold, 임계값}
{values, 값들}
{finding, 찾은}
{best, 최고의}
{cross, 교차}
{validated, 검증된}
{averaged, 평균낸}
{over, ~에 걸쳐}
{five, 다섯}
{runs, 실행들}
{SVMs, SVM들}
{selection, 선택}
{phase, 단계}
{grid, 그리드}
{search, 검색}
{penalty, 페널티}
{parameter, 매개변수}
{C, C}
{pick, 선택하다}
{value, 값}
{threshold, 임계값}
{entry, 항목}
{substantial, 상당한}
{presence, 존재}
{useful, 유용한}
{trimming, 정리}
{contains, 포함하다}
{about, 약}
{10, 10}
{11K, 11K}
{exact, 정확한}
{changes, 변경들}
{run, 실행}
{another, 다른}
{GCN, GCN}
{follow, 따르다}
{logic, 논리}
{find, 찾다}
{labels, 라벨들}
{here, 여기}
{too, 또한}
{decided, 결정된}
{via, ~을 통해}
{experimentation, 실험}
{average, 평균}
{keep, 유지하다}
{7, 7}
{8K, 8K}
{terms, 용어들}
{replaced, 교체된}
{placeholder, 플레이스홀더}
{UNK, UNK}
{CONST, CONST}
{hexadecimal, 16진수}
{pick, 선택하다}
{hyperparameters, 하이퍼파라미터들}
{their, 그들의}
{figure, 그림}
{demonstrates, 입증하다}
{influence, 영향}
{depth, 깊이}
{graph, 그래프}
{convolution, 합성곱}
{layers, 층들}
{width, 폭}
{size, 크기}
{shows, 보여준다}
{performance, 성능}
{depths, 깊이들}
{from, ~로부터}
{one, 하나}
{to, ~까지}
{eight, 여덟}
{layers, 층들}
{while, ~하는 동안}
{dimensionality, 차원성}
{every, 모든}
{layer, 층}
{set, 설정된}
{sixty, 60}
{four, 넷}
{as, ~처럼}
{it, 그것}
{can, 할 수 있다}
{be, ~이다}
{seen, 보인}
{increasing, 증가시키는}
{depth, 깊이}
{model, 모델}
{up, 위로}
{until, ~까지}
{four, 넷}
{layers, 층들}
{improves, 개선한다}
{performance, 성능}
{however, 그러나}
{additional, 추가적인}
{after, ~후에}
{that, 그것}
{do, 하다}
{not, 아니다}
{always, 항상}
{improve, 개선하다}
{compares, 비교한다}
{performances, 성능들}
{four, 넷}
{where, ~인 곳}
{each, 각}
{same, 같은}
{number, 수}
{three, 셋}
{but, 하지만}
{different, 다른}
{sizes, 크기들}
{thirty, 30}
{two, 둘}
{sixty, 60}
{four, 넷}
{one, 하나}
{hundred, 백}
{twenty, 20}
{eight, 여덟}
{or, 또는}
{two, 두}
{hundred, 백}
{fifty, 50}
{six, 여섯}
{here, 여기}
{see, 보다}
{that, ~인}
{from, ~로부터}
{to, ~까지}
{provides, 제공한다}
{moderate, 보통의}
{improvement, 개선}
{further, 더 나아가}
{does, ~하다}
{affect, 영향을 주다}
{figures, 그림들}
{show, 보여준다}
{duration, 기간}
{training, 훈련}
{seconds, 초}
{discussed, 논의된}
{above, 위의}
{models, 모델들}
{hundred, 백}
{examples, 예들}
{based, 기반한}
{on, ~에}
{these, 이러한}
{general, 일반적인}
{findings, 발견들}
{perform, 수행하다}
{some, 일부}
{additional, 추가적인}
{experimentation, 실험}
{and, 그리고}
{deploy, 배치하다}
{GCN, GCN}
{with, ~와}
{three, 셋}
{layers, 층들}
{that, ~인}
{has, 가지다}
{one, 하나}
{hundred, 백}
{twenty, 20}
{eight, 여덟}
{dimensions, 차원들}
{in, ~에}
{its, 그것의}
{first, 첫번째}
{two, 둘}
{layers, 층들}
{sixty, 60}
{four, 넷}
{last, 마지막}
{layer, 층}
{vulnerability, 취약점}
{discovery, 발견}
{experiments, 실험들}
{we, 우리}
{train, 훈련하다}
{separate, 별도의}
{classifier, 분류기}
{for, ~을 위한}
{each, 각}
{of, ~의}
{thirty, 30}
{different, 다른}
{CWE, CWE}
{IDs, ID들}
{note, 주목하다}
{that, ~인}
{for, ~을 위해}
{each, 각}
{CWE, CWE}
{ID, ID}
{classifier, 분류기}
{in, ~에}
{its, 그것의}
{training, 훈련}
{and, 그리고}
{testing, 테스트}
{we, 우리}
{only, 단지}
{include, 포함하다}
{the, 그}
{binaries, 바이너리들}
{that, ~인}
{are, ~이다}
{specifically, 구체적으로}
{marked, 표시된}
{as, ~로서}
{good, 좋은}
{or, 또는}
{bad, 나쁜}
{with, ~와 관련하여}
{regard, 관련}
{to, ~에}
{that, 그}
{CWE, CWE}
{ID, ID}
{for, ~을 위해}
{every, 모든}
{CWE, CWE}
{ID, ID}
{we, 우리}
{split, 분할하다}
{its, 그것의}
{corresponding, 대응하는}
{binaries, 바이너리들}
{into, ~로}
{train, 훈련}
{validation, 검증}
{test, 테스트}
{with, ~와}
{ratios, 비율들}
{seventy, 70}
{fifteen, 15}
{fifteen, 15}
{and, 그리고}
{report, 보고하다}
{results, 결과들}
{averaged, 평균낸}
{over, ~에 걸쳐}
{five, 다섯}
{random, 무작위}
{runs, 실행들}
{we, 우리}
{use, 사용하다}
{training, 훈련}
{sets, 집합들}
{for, ~을 위해}
{training, 훈련하는}
{the, 그}
{models, 모델들}
{and, 그리고}
{validation, 검증}
{sets, 집합들}
{for, ~을 위해}
{grid, 그리드}
{search, 검색}
{of, ~의}
{the, 그}
{penalty, 페널티}
{parameter, 매개변수}
{C, C}
{in, ~에}
{SVMs, SVM들}
{we, 우리}
{report, 보고하다}
{the, 그}
{performance, 성능}
{of, ~의}
{the, 그}
{best, 최고의}
{model, 모델}
{measured, 측정된}
{on, ~에}
{testing, 테스트}
{sets, 집합들}
{here, 여기}
{we, 우리}
{reuse, 재사용하다}
{some, 일부}
{statistics, 통계들}
{obtained, 얻어진}
{on, ~에}
{the, 그}
{first, 첫번째}
{dataset, 데이터셋}
{in, ~에}
{particular, 특정하여}
{we, 우리}
{reuse, 재사용하다}
{frequency, 빈도}
{thresholds, 임계값들}
{and, 그리고}
{bag, 가방}
{of, ~의}
{words, 단어들}
{vocabularies, 어휘들}
{we, 우리}
{need, 필요하다}
{to, ~할}
{train, 훈련하다}
{a, 하나의}
{separate, 별도의}
{classifier, 분류기}
{for, ~을 위해}
{each, 각}
{CWE, CWE}
{ID, ID}
{thirty, 30}
{SVM, SVM}
{classifiers, 분류기들}
{and, 그리고}
{thirty, 30}
{NN, NN}
{classifiers, 분류기들}
{in, ~에}
{total, 총}
{which, 어느}
{would, ~할 것이다}
{lead, 이끌다}
{to, ~에}
{a, 하나의}
{huge, 거대한}
{search, 검색}
{space, 공간}
{at, ~에}
{the, 그}
{phase, 단계}
{of, ~의}
{the, 그}
{model, 모델}
{selection, 선택}
{we, 우리}
{are, ~이다}
{not, 아니다}
{aware, 알고 있는}
{of, ~의}
{related, 관련된}
{work, 작업}
{on, ~에}
{vulnerability, 취약점}
{discovery, 발견}
{that, ~인}
{performs, 수행하다}
{their, 그들의}
{evaluation, 평가}
{on, ~에}
{juliet, 줄리엣}
{test, 테스트}
{suite, 스위트}
{thus, 따라서}
{to, ~하기 위해}
{give, 주다}
{the, 그}
{readers, 독자들}
{a, 하나의}
{better, 더 나은}
{understanding, 이해}
{of, ~의}
{how, 어떻게}
{our, 우리의}
{proposed, 제안된}
{model, 모델}
{would, ~할 것이다}
{fare, 성과를 내다}
{compared, 비교하여}
{to, ~와}
{other, 다른}
{existing, 기존의}
{approaches, 접근법들}
{we, 우리}
{performed, 수행했다}
{an, 하나의}
{additional, 추가적인}
{experiment, 실험}
{using, 사용하여}
{Asm2Vec, Asm2Vec}
{model, 모델}
{on, ~에}
{the, 그}
{juliet, 줄리엣}
{test, 테스트}
{suite, 스위트}
{Asm2Vec, Asm2Vec}
{is, ~이다}
{a, 하나의}
{clone, 클론}
{search, 검색}
{engine, 엔진}
{that, ~인}
{relies, 의존한다}
{on, ~에}
{vector, 벡터}
{representations, 표현들}
{of, ~의}
{assembly, 어셈블리}
{functions, 함수들}
{in, ~에}
{the, 그}
{original, 원본}
{paper, 논문}
{the, 그}
{authors, 저자들}
{suggested, 제안했다}
{its, 그것의}
{usefulness, 유용성}
{as, ~로서}
{a, 하나의}
{vulnerability, 취약점}
{detection, 탐지}
{tool, 도구}
{which, 어느}
{allows, 허용한다}
{finding, 찾는}
{duplicates, 중복들}
{of, ~의}
{known, 알려진}
{vulnerable, 취약한}
{functions, 함수들}
{we, 우리}
{tried, 시도했다}
{replicating, 복제하는}
{that, 그}
{scenario, 시나리오}
{as, ~처럼}
{faithfully, 충실하게}
{as, ~처럼}
{possible, 가능한}
{by, ~에 의해}
{training, 훈련하는}
{Asm2Vec, Asm2Vec}
{footnote, 각주}
{on, ~에}
{juliet, 줄리엣}
{test, 테스트}
{suite, 스위트}
{and, 그리고}
{comparing, 비교하는}
{resulting, 결과로 나온}
{representations, 표현들}
{to, ~하기 위해}
{differentiate, 구별하다}
{between, ~사이}
{vulnerable, 취약한}
{and, 그리고}
{non, 비}
{vulnerable, 취약한}
{instances, 인스턴스들}
{since, ~이므로}
{Asm2Vec, Asm2Vec}
{poses, 제시하다}
{the, 그}
{vulnerability, 취약점}
{detection, 탐지}
{as, ~로서}
{a, 하나의}
{retrieval, 검색}
{problem, 문제}
{we, 우리}
{follow, 따르다}
{their, 그들의}
{example, 예}
{in, ~에}
{the, 그}
{paper, 논문}
{and, 그리고}
{report, 보고하다}
{precision, 정밀도}
{at, ~에}
{fifteen, 15}
{metric, 지표}
{for, ~을 위해}
{each, 각}
{vulnerable, 취약한}
{function, 함수}
{we, 우리}
{find, 찾다}
{fifteen, 15}
{most, 가장}
{similar, 유사한}
{functions, 함수들}
{to, ~에}
{it, 그것}
{according, 따르는}
{to, ~에}
{cosine, 코사인}
{similarity, 유사성}
{and, 그리고}
{compute, 계산하다}
{the, 그}
{percentage, 백분율}
{of, ~의}
{vulnerable, 취약한}
{functions, 함수들}
{among, ~중에서}
{them, 그것들}
{it, 그것}
{is, ~이다}
{worth, 가치있는}
{noting, 주목하는}
{that, ~인}
{we, 우리}
{are, ~이다}
{looking, 찾는}
{for, ~을 위해}
{similar, 유사한}
{functions, 함수들}
{among, ~중에서}
{all, 모든}
{vulnerable, 취약한}
{and, 그리고}
{non, 비}
{vulnerable, 취약한}
{functions, 함수들}
{per, ~당}
{CWE, CWE}
{ID, ID}
{we, 우리}
{set, 설정하다}
{most, 대부분의}
{of, ~의}
{the, 그}
{hyperparameters, 하이퍼파라미터들}
{of, ~의}
{Asm2Vec, Asm2Vec}
{following, 따르는}
{the, 그}
{original, 원본}
{paper, 논문}
{but, 하지만}
{finetune, 미세조정하다}
{for, ~을 위해}
{dimensionality, 차원성}
{of, ~의}
{the, 그}
{representation, 표현}
{and, 그리고}
{learning, 학습}
{rate, 비율}
{to, ~하기 위해}
{find, 찾다}
{best, 최고의}
{values, 값들}
{for, ~을 위해}
{those, 그것들}
{we, 우리}
{use, 사용하다}
{grid, 그리드}
{search, 검색}
{in, ~에}
{intervals, 간격들}
{fifty, 50}
{one, 하나}
{hundred, 백}
{one, 하나}
{hundred, 백}
{fifty, 50}
{two, 둘}
{hundred, 백}
{and, 그리고}
{zero, 영}
{point, 점}
{zero, 영}
{five, 다섯}
{zero, 영}
{point, 점}
{zero, 영}
{two, 둘}
{five, 다섯}
{zero, 영}
{point, 점}
{zero, 영}
{one, 하나}
{correspondingly, 상응하게}
{the, 그}
{final, 최종}
{results, 결과들}
{that, ~인}
{we, 우리}
{report, 보고하다}
{for, ~을 위해}
{Asm2Vec, Asm2Vec}
{are, ~이다}
{computed, 계산된}
{on, ~에}
{the, 그}
{testing, 테스트}
{set, 집합}
{and, 그리고}
{are, ~이다}
{the, 그}
{average, 평균}
{of, ~의}
{five, 다섯}
{random, 무작위}
{runs, 실행들}
{for, ~을 위해}
{evaluating, 평가하는}
{performance, 성능}
{in, ~에}
{our, 우리의}
{experiments, 실험들}
{we, 우리}
{used, 사용했다}
{accuracy, 정확도}
{following, 따르는}
{previous, 이전}
{work, 작업}
{that, ~인}
{we, 우리}
{proceed, 진행하다}
{to, ~하기 위해}
{compare, 비교하다}
{our, 우리의}
{results, 결과들}
{to, ~와}
{table, 표}
{contains, 포함하다}
{quantitative, 정량적}
{evaluation, 평가}
{of, ~의}
{our, 우리의}
{representation, 표현}
{for, ~을 위한}
{task, 작업}
{one, 하나}
{our, 우리의}
{proposed, 제안된}
{representation, 표현}
{outperforms, 능가하다}
{our, 우리의}
{own, 자체의}
{SVM, SVM}
{baseline, 기준선}
{TBCNN, TBCNN}
{model, 모델}
{and, 그리고}
{current, 현재의}
{state, 상태}
{of, ~의}
{the, 그}
{art, 기술}
{for, ~을 위한}
{this, 이}
{task, 작업}
{inst2vec, inst2vec}
{we, 우리}
{manage, 성공하다}
{to, ~하기 위해}
{reduce, 줄이다}
{the, 그}
{error, 오류}
{by, ~만큼}
{more, 더}
{than, ~보다}
{forty, 40}
{percent, 퍼센트}
{thus, 따라서}
{setting, 설정하는}
{a, 하나의}
{new, 새로운}
{state, 상태}
{of, ~의}
{the, 그}
{art, 기술}
{result, 결과}
{it, 그것}
{should, ~해야 한다}
{be, ~이다}
{additionally, 추가로}
{mentioned, 언급된}
{that, ~인}
{both, 양쪽}
{TBCNN, TBCNN}
{and, 그리고}
{inst2vec, inst2vec}
{start, 시작하다}
{from, ~로부터}
{the, 그}
{C, C}
{source, 소스}
{code, 코드}
{of, ~의}
{the, 그}
{programs, 프로그램들}
{to, ~하기 위해}
{make, 만들다}
{predictions, 예측들}
{whereas, ~인 반면}
{our, 우리의}
{baseline, 기준선}
{SVM, SVM}
{and, 그리고}
{our, 우리의}
{proposed, 제안된}
{model, 모델}
{are, ~이다}
{only, 단지}
{using, 사용하는}
{compiled, 컴파일된}
{executable, 실행가능한}
{versions, 버전들}
{highlighting, 강조하는}
{a, 몇몇}
{few, 몇몇}
{important, 중요한}
{differences, 차이들}
{between, ~사이}
{our, 우리의}
{approach, 접근법}
{and, 그리고}
{inst2vec, inst2vec}
{helps, 돕다}
{better, 더 나은}
{understanding, 이해}
{some, 일부}
{of, ~의}
{the, 그}
{contributions, 기여들}
{of, ~의}
{our, 우리의}
{approach, 접근법}
{to, ~하기 위해}
{construct, 구성하다}
{the, 그}
{contextual, 문맥적}
{flow, 흐름}
{graphs, 그래프들}
{the, 그}
{authors, 저자들}
{of, ~의}
{inst2vec, inst2vec}
{compile, 컴파일하다}
{the, 그}
{source, 소스}
{code, 코드}
{to, ~에}
{LLVM, LLVM}
{IR, IR}
{which, 어느}
{contains, 포함하다}
{richer, 더 풍부한}
{semantic, 의미론적}
{information, 정보}
{than, ~보다}
{VEX, VEX}
{IR, IR}
{that, ~인}
{we, 우리}
{use, 사용하다}
{in, ~에}
{this, 이}
{work, 작업}
{because, 왜냐하면}
{it, 그것}
{is, ~이다}
{more, 더}
{high, 높은}
{level, 수준}
{LLVM, LLVM}
{IR, IR}
{is, ~이다}
{a, 하나의}
{difficult, 어려운}
{target, 대상}
{for, ~을 위해}
{lifting, 올리는}
{from, ~로부터}
{binary, 바이너리}
{executable, 실행가능한}
{files, 파일들}
{footnote, 각주}
{another, 다른}
{key, 핵심}
{difference, 차이}
{is, ~이다}
{that, ~인}
{instead, 대신에}
{of, ~의}
{learning, 학습하는}
{the, 그}
{representations, 표현들}
{of, ~의}
{individual, 개별}
{tokens, 토큰들}
{and, 그리고}
{then, 그런 다음}
{combining, 결합하는}
{the, 그}
{tokens, 토큰들}
{into, ~로}
{a, 하나의}
{program, 프로그램}
{using, 사용하여}
{a, 하나의}
{sequential, 순차적}
{model, 모델}
{we, 우리}
{learn, 학습하다}
{the, 그}
{representations, 표현들}
{of, ~의}
{all, 모든}
{the, 그}
{tokens, 토큰들}
{in, ~에}
{the, 그}
{program, 프로그램}
{jointly, 공동으로}
{thus, 따라서}
{learning, 학습하는}
{the, 그}
{representation, 표현}
{of, ~의}
{the, 그}
{entire, 전체}
{program, 프로그램}
{the, 그}
{inst2vec, inst2vec}
{on, ~에}
{the, 그}
{other, 다른}
{side, 측면}
{ignores, 무시하다}
{the, 그}
{structural, 구조적}
{properties, 속성들}
{of, ~의}
{the, 그}
{program, 프로그램}
{at, ~에}
{that, 그}
{step, 단계}
{our, 우리의}
{results, 결과들}
{show, 보여주다}
{that, ~인}
{we, 우리}
{can, 할 수 있다}
{achieve, 달성하다}
{better, 더 나은}
{performance, 성능}
{despite, ~에도 불구하고}
{inst2vec, inst2vec}
{starting, 시작하는}
{from, ~로부터}
{a, 하나의}
{semantically, 의미론적으로}
{richer, 더 풍부한}
{LLVM, LLVM}
{IR, IR}
{we, 우리}
{believe, 믿다}
{this, 이것}
{indicates, 나타낸다}
{the, 그}
{importance, 중요성}
{of, ~의}
{using, 사용하는}
{the, 그}
{structural, 구조적}
{information, 정보}
{at, ~에}
{all, 모든}
{stages, 단계들}
{of, ~의}
{learning, 학습}
{for, ~을 위해}
{obtaining, 얻는}
{good, 좋은}
{program, 프로그램}
{embeddings, 임베딩들}
{figure, 그림}
{contains, 포함하다}
{the, 그}
{evaluation, 평가}
{of, ~의}
{our, 우리의}
{representation, 표현}
{for, ~을 위한}
{task, 작업}
{two, 둘}
{here, 여기}
{the, 그}
{classifier, 분류기}
{based, 기반한}
{on, ~에}
{our, 우리의}
{proposed, 제안된}
{representation, 표현}
{outperforms, 능가하다}
{our, 우리의}
{SVM, SVM}
{baseline, 기준선}
{in, ~에}
{all, 모든}
{cases, 경우들}
{except, 제외하고}
{two, 둘}
{CWE, CWE}
{ID, ID}
{five, 다섯}
{hundred, 백}
{ninety, 90}
{free, 해제}
{of, ~의}
{memory, 메모리}
{not, 아니다}
{on, ~에}
{the, 그}
{heap, 힙}
{and, 그리고}
{CWE, CWE}
{ID, ID}
{seven, 일곱}
{hundred, 백}
{sixty, 60}
{one, 하나}
{free, 해제}
{of, ~의}
{pointer, 포인터}
{not, 아니다}
{at, ~에}
{start, 시작}
{of, ~의}
{buffer, 버퍼}
{in, ~에}
{both, 양쪽}
{cases, 경우들}
{we, 우리}
{are, ~이다}
{seeing, 보는}
{less, 덜}
{than, ~보다}
{five, 다섯}
{percent, 퍼센트}
{difference, 차이}
{in, ~에}
{accuracy, 정확도}
{on, ~에}
{the, 그}
{other, 다른}
{hand, 손}
{our, 우리의}
{proposed, 제안된}
{representation, 표현}
{demonstrates, 입증하다}
{a, 하나의}
{significant, 중요한}
{gain, 이득}
{in, ~에}
{terms, 측면}
{of, ~의}
{performance, 성능}
{in, ~에}
{the, 그}
{extreme, 극단적}
{case, 경우}
{of, ~의}
{CWE, CWE}
{six, 여섯}
{hundred, 백}
{seventeen, 17}
{reachable, 도달가능한}
{assertion, 단언}
{it, 그것}
{outperforms, 능가하다}
{the, 그}
{baseline, 기준선}
{by, ~만큼}
{about, 약}
{twenty, 20}
{five, 다섯}
{percent, 퍼센트}
{in, ~에}
{many, 많은}
{other, 다른}
{cases, 경우들}
{the, 그}
{gain, 이득}
{is, ~이다}
{from, ~로부터}
{ten, 10}
{percent, 퍼센트}
{to, ~까지}
{twenty, 20}
{percent, 퍼센트}
{of, ~의}
{prediction, 예측}
{accuracy, 정확도}
{table, 표}
{reports, 보고하다}
{the, 그}
{results, 결과들}
{we, 우리}
{obtained, 얻었다}
{from, ~로부터}
{running, 실행하는}
{Asm2Vec, Asm2Vec}
{on, ~에}
{juliet, 줄리엣}
{test, 테스트}
{suite, 스위트}
{it, 그것}
{is, ~이다}
{important, 중요한}
{to, ~하기 위해}
{keep, 유지하다}
{in, ~에}
{mind, 마음}
{that, ~인}
{these, 이러한}
{numbers, 숫자들}
{are, ~이다}
{not, 아니다}
{directly, 직접적으로}
{comparable, 비교가능한}
{to, ~와}
{our, 우리의}
{results, 결과들}
{as, ~처럼}
{they, 그것들}
{correspond, 대응하다}
{to, ~에}
{two, 둘}
{different, 다른}
{metrics, 지표들}
{rather, 오히려}
{this, 이}
{experiment, 실험}
{demonstrates, 입증하다}
{the, 그}
{complexity, 복잡도}
{of, ~의}
{the, 그}
{dataset, 데이터셋}
{and, 그리고}
{the, 그}
{capacity, 능력}
{of, ~의}
{Asm2Vec, Asm2Vec}
{to, ~하기 위해}
{capture, 포착하다}
{vulnerabilities, 취약점들}
{on, ~에}
{it, 그것}
{while, ~하는 동안}
{Bin2Vec, Bin2Vec}
{achieves, 달성하다}
{more, 더}
{than, ~보다}
{eighty, 80}
{percent, 퍼센트}
{accuracy, 정확도}
{for, ~을 위해}
{all, 모든}
{CWE, CWE}
{ID, ID}
{Asm2Vec, Asm2Vec}
{has, 가지다}
{precision, 정밀도}
{at, ~에}
{fifteen, 15}
{equal, 같은}
{to, ~에}
{zero, 영}
{point, 점}
{five, 다섯}
{or, 또는}
{zero, 영}
{point, 점}
{six, 여섯}
{in, ~에}
{many, 많은}
{cases, 경우들}
{which, 어느}
{means, 의미하다}
{only, 단지}
{about, 약}
{half, 절반}
{of, ~의}
{the, 그}
{retrieved, 검색된}
{similar, 유사한}
{functions, 함수들}
{were, ~였다}
{in, ~에}
{fact, 사실}
{vulnerable, 취약한}
{Asm2Vec, Asm2Vec}
{has, 가지다}
{highest, 가장 높은}
{precision, 정밀도}
{at, ~에}
